"","t","k","mean_ER"
"103",2,48,-0.000965538720424213
"104",2,49,-0.000200647856652011
"105",2,50,-0.000796597760759599
"106",2,51,0.000378431614375541
"107",2,52,-2.69721490135974e-05
"108",2,53,-0.000380089357423887
"109",2,54,-0.000673061813564874
"110",2,55,9.76757821328023e-05
"111",2,56,-2.22921112269173e-05
"112",2,57,7.52794662804476e-05
"113",2,58,0.000132119212266338
"114",2,59,0.000846819971844421
"115",2,60,-0.000752337857577123
"116",2,61,-0.000973532104150922
"117",2,62,-0.00174477943397463
"118",2,63,-0.00170930721070833
"119",2,64,-0.000869641870173496
"120",2,65,-0.000534777620729408
"121",2,66,-0.000306789552555566
"122",2,67,-0.00104586977369233
"123",2,68,-0.00256049988398441
"124",2,69,-0.00171632381394194
"125",2,70,-0.00222358155508362
"126",2,71,-0.00157071018463847
"127",2,72,-0.00160541870888374
"128",2,73,-0.00193068243170271
"129",2,74,-0.00198515449988451
"130",2,75,-0.00247712879697306
"131",2,76,-0.00256840068821345
"132",2,77,-0.00287962012395389
"133",2,78,-0.00311425958378738
"134",2,79,-0.0029282298720882
"135",2,80,-0.00272756608382663
"136",2,81,-0.00293188214081464
"137",2,82,-0.0036197449564861
"138",2,83,-0.00294863417194576
"139",2,84,-0.00243865821143162
"140",2,85,-0.00244052734532161
"141",2,86,-0.00213862573793496
"142",2,87,-0.00194959128459535
"143",2,88,-0.00154858600720501
"144",2,89,-0.00161811939800124
"145",2,90,-0.00177729923044639
"146",2,91,-0.00218926833108779
"147",2,92,-0.00158018613715561
"148",2,93,-0.00177589658785315
"149",2,94,-0.00164195387208572
"150",2,95,-0.0022274188905077
"151",2,96,-0.00253332478395648
"152",2,97,-0.00344996288452389
"153",2,98,-0.00327535052657838
"154",2,99,-0.00359115286935925
"155",2,100,-0.00376746317303052
"156",2,101,-0.00350968806686821
"157",2,102,-0.00331224269059239
"158",2,103,-0.00261091393677461
"159",2,104,-0.00273332856679357
"160",2,105,-0.00311531794163687
"161",2,106,-0.00318828081782558
"162",2,107,-0.00340254010084988
"163",2,108,-0.00331480071652728
"164",2,109,-0.00266773336037073
"165",2,110,-0.00219312375976296
"166",2,111,-0.00278815298510357
"167",2,112,-0.00249919065988142
"168",2,113,-0.00264595656535437
"169",2,114,-0.00192042558659761
"170",2,115,-0.00193199227349221
"171",2,116,-0.00201534300614487
"172",2,117,-0.00189613962804354
"173",3,32,-0.00418105973966004
"174",3,33,-0.00242408738056984
"175",3,34,-0.00221085421072996
"176",3,35,-0.00229527062511652
"177",3,36,-0.00351708396576452
"178",3,37,-0.00139349679708832
"179",3,38,-0.00168527905525414
"180",3,39,-0.000952229639057445
"181",3,40,-0.0020121442933219
"182",3,41,-0.00176829887352187
"183",3,42,-0.00205439804964075
"184",3,43,-0.000759607220460511
"185",3,44,-0.00285964064942789
"186",3,45,-0.00377698689075082
"187",3,46,-0.00356595339465547
"188",3,47,-0.00343038419783882
"189",3,48,-0.00390047387517845
"190",3,49,-0.00443707608867325
"191",3,50,-0.00527023442616625
"192",3,51,-0.00460173578960221
"193",3,52,-0.00424502355319182
"194",3,53,-0.00366420350948081
"195",3,54,-0.004016135785778
"196",3,55,-0.00489787131073994
"197",3,56,-0.00457799564982625
"198",3,57,-0.00381975223016452
"199",3,58,-0.00331818719754676
"200",3,59,-0.00303640337064798
"201",3,60,-0.00376927991936503
"202",3,61,-0.00433412384980625
"203",3,62,-0.00503772620760792
"204",3,63,-0.00506848614768194
"205",3,64,-0.00410651775836177
"206",3,65,-0.0042474304476732
"207",3,66,-0.00483951652904004
"208",3,67,-0.00566528099659389
"209",3,68,-0.00514952281258186
"210",3,69,-0.00552890116618372
"211",3,70,-0.00509942699024951
"212",3,71,-0.00473284700537161
"213",3,72,-0.00492766385028922
"214",3,73,-0.00507675695981303
"215",3,74,-0.00537347806332458
"216",3,75,-0.00613033497693188
"217",3,76,-0.00634842629095669
"218",3,77,-0.00636246121808408
"219",3,78,-0.00643480346789541
"220",3,79,-0.00658796084342555
"221",3,80,-0.00576388423815248
"222",3,81,-0.00621286542545944
"223",3,82,-0.00660816513074658
"224",3,83,-0.00594487799693379
"225",3,84,-0.00527638087673081
"226",3,85,-0.00541712543875443
"227",3,86,-0.0053657335244627
"228",3,87,-0.00518429025203199
"229",3,88,-0.00465763731829566
"230",3,89,-0.00501607896095124
"231",3,90,-0.00505864039440772
"232",3,91,-0.00478453167569859
"233",3,92,-0.00469107258111433
"234",3,93,-0.00436127487360316
"235",3,94,-0.00513871895541354
"236",3,95,-0.00488173771487171
"237",3,96,-0.0058394130036199
"238",3,97,-0.00583459004179253
"239",3,98,-0.00611727634254248
"240",3,99,-0.00633041882654959
"241",3,100,-0.00629375427376178
"242",3,101,-0.00602873404717706
"243",3,102,-0.00548126005862389
"244",3,103,-0.0052868483151106
"245",3,104,-0.00566615805376484
"246",3,105,-0.00560374334360005
"247",3,106,-0.00638563811387382
"248",3,107,-0.00610417600670379
"249",3,108,-0.00603501186623314
"250",3,109,-0.00556097592594486
"251",3,110,-0.00514769457530086
"252",3,111,-0.00549424113495245
"253",3,112,-0.00561920717204144
"254",3,113,-0.00526669521717388
"255",3,114,-0.00482965011163581
"256",3,115,-0.0048340787154411
"257",3,116,-0.00480306839146658
"258",3,117,-0.00405489425535714
"259",4,32,-0.00595775229127694
"260",4,33,-0.00501729149665208
"261",4,34,-0.00344493946440706
"262",4,35,-0.00489646000728269
"263",4,36,-0.00445082639949495
"264",4,37,-0.00318860957335566
"265",4,38,-0.00157664926842042
"266",4,39,-0.00214790136299608
"267",4,40,-0.00145524172495975
"268",4,41,-0.00146442875140528
"269",4,42,-0.000239114475327064
"270",4,43,-0.00170280631461159
"271",4,44,-0.00175872942339283
"272",4,45,-0.0032155855022082
"273",4,46,-0.00400032837637149
"274",4,47,-0.00314851019703899
"275",4,48,-0.00402065233777384
"276",4,49,-0.0041876606332705
"277",4,50,-0.0042780169250764
"278",4,51,-0.0039289763960591
"279",4,52,-0.00427252963366964
"280",4,53,-0.00440956306580941
"281",4,54,-0.00488477118608308
"282",4,55,-0.00374550489186462
"283",4,56,-0.0028348727319979
"284",4,57,-0.00287848723595043
"285",4,58,-0.00410473798185047
"286",4,59,-0.00395903710033913
"287",4,60,-0.00498288637021945
"288",4,61,-0.00434678001821843
"289",4,62,-0.00369753813733389
"290",4,63,-0.00406396300703275
"291",4,64,-0.00388544143485064
"292",4,65,-0.00434932027043281
"293",4,66,-0.00511409795522817
"294",4,67,-0.00474888538228295
"295",4,68,-0.00498681722406962
"296",4,69,-0.00443824100454732
"297",4,70,-0.00477615469439851
"298",4,71,-0.00468527069295987
"299",4,72,-0.00443459922905206
"300",4,73,-0.00528664379989451
"301",4,74,-0.00571485264419866
"302",4,75,-0.00551859361411247
"303",4,76,-0.00587036169719215
"304",4,77,-0.00582192538521598
"305",4,78,-0.00547253898880553
"306",4,79,-0.0048294268394374
"307",4,80,-0.00555737426878405
"308",4,81,-0.00564431011084118
"309",4,82,-0.00573904382081212
"310",4,83,-0.0061437958193237
"311",4,84,-0.00537381829145206
"312",4,85,-0.00487577328225715
"313",4,86,-0.00446820952218658
"314",4,87,-0.00465531430834153
"315",4,88,-0.00454730175562835
"316",4,89,-0.00572982430379456
"317",4,90,-0.00510053559455515
"318",4,91,-0.00488690789724474
"319",4,92,-0.00501157259762413
"320",4,93,-0.00499477230196043
"321",4,94,-0.00493468258255267
"322",4,95,-0.00559630488163075
"323",4,96,-0.0056251436563608
"324",4,97,-0.00615937243564899
"325",4,98,-0.00636051229332343
"326",4,99,-0.0064140337292857
"327",4,100,-0.00631404316344327
"328",4,101,-0.00606321126167325
"329",4,102,-0.00597706467359756
"330",4,103,-0.00570443060758048
"331",4,104,-0.0060434297031999
